Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DDT_Excel_Validationoflogin_Suite_001,Chrome 121.0.0.0,,,31-01-2024 20:44:36,31-01-2024 20:45:17,41.036s,PASSED
,,,,,,,
Test Cases/CURA Healthcare Services/TC_Cura_Home_ValidationofLogin_UsingDDT_001,Chrome 121.0.0.0,,,31-01-2024 20:44:37,31-01-2024 20:44:52,15.303s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,31-01-2024 20:44:37,31-01-2024 20:44:38,1.074s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,31-01-2024 20:44:38,31-01-2024 20:44:39,0.254s,ERROR
"openBrowser("""")",Chrome 121.0.0.0,,,31-01-2024 20:44:39,31-01-2024 20:44:42,3.174s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com"")",Chrome 121.0.0.0,,,31-01-2024 20:44:42,31-01-2024 20:44:45,3.023s,PASSED
maximizeWindow(),Chrome 121.0.0.0,,,31-01-2024 20:44:45,31-01-2024 20:44:46,0.493s,PASSED
"click(findTestObject(""Cura_Validationoflogin_DDT_OR/Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""), STOP_ON_FAILURE)",Chrome 121.0.0.0,,,31-01-2024 20:44:46,31-01-2024 20:44:47,0.980s,PASSED
"click(findTestObject(""Cura_Validationoflogin_DDT_OR/Page_CURA Healthcare Service/a_Login""))",Chrome 121.0.0.0,,,31-01-2024 20:44:47,31-01-2024 20:44:48,1.297s,PASSED
"setText(findTestObject(""Cura_Validationoflogin_DDT_OR/Page_CURA Healthcare Service/Page_CURA Healthcare Service/input_Username_username""), UserName)",Chrome 121.0.0.0,,,31-01-2024 20:44:48,31-01-2024 20:44:49,1.150s,PASSED
"setText(findTestObject(""Cura_Validationoflogin_DDT_OR/Page_CURA Healthcare Service/Page_CURA Healthcare Service/input_Password_password""), Password)",Chrome 121.0.0.0,,,31-01-2024 20:44:49,31-01-2024 20:44:50,1.115s,PASSED
"click(findTestObject(""Cura_Validationoflogin_DDT_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,31-01-2024 20:44:50,31-01-2024 20:44:52,1.286s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,31-01-2024 20:44:52,31-01-2024 20:44:52,0.463s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,31-01-2024 20:44:52,31-01-2024 20:44:52,0.143s,ERROR
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,31-01-2024 20:44:52,31-01-2024 20:44:52,0.105s,ERROR
,,,,,,,
Test Cases/CURA Healthcare Services/TC_Cura_Home_ValidationofLogin_UsingDDT_001,Chrome 121.0.0.0,,,31-01-2024 20:44:52,31-01-2024 20:45:05,12.800s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,31-01-2024 20:44:52,31-01-2024 20:44:53,0.136s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,31-01-2024 20:44:53,31-01-2024 20:44:53,0.146s,ERROR
"openBrowser("""")",Chrome 121.0.0.0,,,31-01-2024 20:44:53,31-01-2024 20:44:55,2.482s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com"")",Chrome 121.0.0.0,,,31-01-2024 20:44:55,31-01-2024 20:44:57,1.446s,PASSED
